run,dataset,condition,difficulty,N,EX_pct,valid_sql_pct,execution_success_pct,runtime_error_pct,avg_generation_latency_s,avg_execution_latency_s,avg_prompt_tokens,avg_completion_tokens,total_prompt_tokens,total_completion_tokens,total_repair_attempts
rq1_table1_core_gemma4_spider,spider,HDC_STYLE,easy,60,95.0,100.0,100.0,0.0,1.0859,0.0004,2758.37,11.82,165502,709,0
rq1_table1_core_gemma4_spider,spider,HDC_STYLE,medium,122,77.87,100.0,100.0,0.0,1.205,0.0005,2891.19,28.49,352725,3476,0
rq1_table1_core_gemma4_spider,spider,HDC_STYLE,hard,52,86.54,100.0,100.0,0.0,1.2808,0.0005,3073.37,37.04,159815,1926,0
rq1_table1_core_gemma4_spider,spider,HDC_STYLE,extra,60,55.0,100.0,98.33,1.67,1.5397,0.0007,2978.48,65.8,178709,3948,5
rq1_table1_core_gemma4_spider,spider,HDC_STYLE,all,294,78.23,100.0,99.66,0.34,1.2624,0.0005,2914.12,34.21,856751,10059,5
rq1_table1_core_gemma4_spider,spider,RAW_SCHEMA,easy,60,93.33,100.0,100.0,0.0,0.9632,0.0004,202.7,12.07,12162,724,0
rq1_table1_core_gemma4_spider,spider,RAW_SCHEMA,medium,122,72.95,100.0,98.36,1.64,1.1462,0.0005,233.8,35.65,28523,4349,5
rq1_table1_core_gemma4_spider,spider,RAW_SCHEMA,hard,53,69.81,100.0,100.0,0.0,1.144,0.0006,248.45,36.0,13168,1908,4
rq1_table1_core_gemma4_spider,spider,RAW_SCHEMA,extra,60,36.67,100.0,98.33,1.67,1.3384,0.0007,250.48,62.58,15029,3755,6
rq1_table1_core_gemma4_spider,spider,RAW_SCHEMA,all,295,69.15,100.0,98.98,1.02,1.1477,0.0005,233.5,36.39,68882,10736,15
rq1_table1_core_gemma4_spider,spider,SDMC,easy,60,95.0,100.0,100.0,0.0,1.0611,0.0004,1838.88,11.97,110333,718,0
rq1_table1_core_gemma4_spider,spider,SDMC,medium,122,77.05,100.0,100.0,0.0,1.2619,0.0005,2352.13,31.45,286960,3837,2
rq1_table1_core_gemma4_spider,spider,SDMC,hard,52,86.54,100.0,100.0,0.0,1.3903,0.0006,2585.31,47.06,134436,2447,0
rq1_table1_core_gemma4_spider,spider,SDMC,extra,60,65.0,100.0,100.0,0.0,1.5294,0.0007,2559.43,63.63,153566,3818,4
rq1_table1_core_gemma4_spider,spider,SDMC,all,294,79.93,100.0,100.0,0.0,1.2982,0.0005,2330.94,36.8,685295,10820,6
